========================================================================
 GAZİANTEP BÜYÜKŞEHİR BELEDİYESİ AÇIK VERİ API-DEN ÇEKİLEN TÜM VERİLER
========================================================================

1. OTOBÜS VE TRAMVAY DURAKLARI (TOPLAM 2874 KAYIT)
------------------------------------------------------------------------
1. Durak ID: 1 | Durak Adı: GATEM KUNDURACILAR SİTESİ | Enlem: None | Boylam: None
2. Durak ID: 2 | Durak Adı: 26 NOLU CADDE | Enlem: None | Boylam: None
3. Durak ID: 3 | Durak Adı: AKTEKS SPOR SALONU | Enlem: None | Boylam: None
4. Durak ID: 4 | Durak Adı: PASAJ ESNAF SİTESİ | Enlem: None | Boylam: None
5. Durak ID: 5 | Durak Adı: HİSAR YAPI SİTESİ | Enlem: None | Boylam: None
6. Durak ID: 6 | Durak Adı: SERİNEVLER SİTESİ | Enlem: None | Boylam: None
7. Durak ID: 7 | Durak Adı: BURCU SİTESİ | Enlem: None | Boylam: None
8. Durak ID: 8 | Durak Adı: 19 NOLU CAD. | Enlem: None | Boylam: None
9. Durak ID: 9 | Durak Adı: ARI SİTESİ | Enlem: None | Boylam: None
10. Durak ID: 10 | Durak Adı: SEÃKİN EVLER | Enlem: None | Boylam: None
11. Durak ID: 11 | Durak Adı: TANIÅ YAPI KOOP. | Enlem: None | Boylam: None
12. Durak ID: 12 | Durak Adı: SEVİMLİ CİTY 1. | Enlem: None | Boylam: None
13. Durak ID: 13 | Durak Adı: M1. MERKEZ AVM. | Enlem: None | Boylam: None
14. Durak ID: 14 | Durak Adı: OTOGAR 1 | Enlem: None | Boylam: None
15. Durak ID: 15 | Durak Adı: OTOGAR 2 | Enlem: None | Boylam: None
16. Durak ID: 16 | Durak Adı: MERVEÅEHİR 22 NOLU CADDE | Enlem: None | Boylam: None
17. Durak ID: 17 | Durak Adı: MERVEÅEHİR SANTRALİ | Enlem: None | Boylam: None
18. Durak ID: 18 | Durak Adı: MERİNOS MERVEÅEHİR 50070 CAD. | Enlem: None | Boylam: None
19. Durak ID: 19 | Durak Adı: 70 NOLU CAD. | Enlem: None | Boylam: None
20. Durak ID: 20 | Durak Adı: NAMIK KEMAL İ.Ã.OKULU | Enlem: None | Boylam: None
21. Durak ID: 21 | Durak Adı: ONAT KUTLAR SOSYAL TESİSLERİ 1 | Enlem: None | Boylam: None
22. Durak ID: 22 | Durak Adı: ONAT KUTLAR SOSYAL TESİSLERİ 2 | Enlem: None | Boylam: None
23. Durak ID: 23 | Durak Adı: ONAT KUTLAR SOSYAL TESİSLERİ 3 | Enlem: None | Boylam: None
24. Durak ID: 24 | Durak Adı: SELİMİYE MAHALLESİ | Enlem: None | Boylam: None
25. Durak ID: 25 | Durak Adı: 80.YIL İLK ÃÄRETİM OKULU | Enlem: None | Boylam: None
