stop_id,stop_name,lat,lng,type
1,GATEM KUNDURACILAR SÄ°TESÄ°,36.9912,37.3031,Bus Stop
2,26 NOLU CADDE,37.0122,37.3361,Bus Stop
3,AKTEKS SPOR SALONU,37.0332,37.3691,Bus Stop
4,PASAJ ESNAF SÄ°TESÄ°,37.0542,37.4021,Bus Stop
5,HÄ°SAR YAPI SÄ°TESÄ°,37.0752,37.4351,Bus Stop
6,SERÄ°NEVLER SÄ°TESÄ°,37.0962,37.3181,Bus Stop
7,BURCU SÄ°TESÄ°,37.1172,37.3511,Bus Stop
8,19 NOLU CAD.,37.1382,37.3841,Bus Stop
9,ARI SÄ°TESÄ°,37.0092,37.4171,Bus Stop
10,SEÇKİN EVLER,37.0302,37.4501,Bus Stop
11,TANIÅ YAPI KOOP.,37.0512,37.3331,Bus Stop
12,SEVÄ°MLÄ° CÄ°TY 1.,37.0722,37.3661,Bus Stop
13,M1. MERKEZ AVM.,37.0932,37.3991,Bus Stop
14,OTOGAR 1,37.1142,37.4321,Bus Stop
15,OTOGAR 2,37.1352,37.3151,Bus Stop
16,MERVEÅEHÄ°R 22 NOLU CADDE,37.0062,37.3481,Bus Stop
17,MERVEÅEHÄ°R SANTRALÄ°,37.0272,37.3811,Bus Stop
18,MERÄ°NOS MERVEÅEHÄ°R 50070 CAD.,37.0482,37.4141,Bus Stop
19,70 NOLU CAD.,37.0692,37.4471,Bus Stop
20,NAMIK KEMAL İ.Ö.OKULU,37.0902,37.3301,Bus Stop
21,ONAT KUTLAR SOSYAL TESÄ°SLERÄ° 1,37.1112,37.3631,Bus Stop
22,ONAT KUTLAR SOSYAL TESÄ°SLERÄ° 2,37.1322,37.3961,Bus Stop
23,ONAT KUTLAR SOSYAL TESÄ°SLERÄ° 3,37.0032,37.4291,Bus Stop
24,SELÄ°MÄ°YE MAHALLESÄ°,37.0242,37.3121,Bus Stop
25,80.YIL İLK ÖĞRETİM OKULU,37.0452,37.3451,Bus Stop
