fare_product_id,fare_product_name,fare_media_id,amount,currency
gk_bo_shrici_t,Otobüs Tam Gaziantep Kart,gaziantepkart,21.00,TRY
gk_bo_shrici_i,Otobüs İndirimli Gaziantep Kart,gaziantepkart,18.00,TRY
gk_bo_shrici_o,Otobüs Öğrenci Gaziantep Kart,gaziantepkart,10.00,TRY
gk_trm_t,Tramvay Tam Gaziantep Kart,gaziantepkart,21.00,TRY
gk_trm_i,Tramvay İndirimli Gaziantep Kart,gaziantepkart,18.00,TRY
gk_trm_o,Tramvay Öğrenci Gaziantep Kart,gaziantepkart,10.00,TRY
gk_gzry_t,Gaziray Tam Gaziantep Kart,gaziantepkart,14.00,TRY
gk_gzry_i,Gaziray İndirimli Gaziantep Kart,gaziantepkart,11.70,TRY
gk_gzry_o,Gaziray Öğrenci Gaziantep Kart,gaziantepkart,6.30,TRY
gk_oho_shrici_t,Özel Halk Otobüsü Tam Gaziantep Kart,gaziantepkart,21.00,TRY
gk_oho_shrici_mavi_t,Özel Halk Otobüsü Tam Gaziantep Kart,gaziantepkart,21.00,TRY
gk_oho_shrici_i,Özel Halk Otobüsü İndirimli Gaziantep Kart,gaziantepkart,18.00,TRY
gk_oho_shrici_o,Özel Halk Otobüsü Öğrenci Gaziantep Kart,gaziantepkart,10.00,TRY
gk_oho_baspinar_t,Özel Halk Otobüsü Başpınar Tam Gaziantep Kart,gaziantepkart,27.25,TRY
gk_oho_baspinar_i,Özel Halk Otobüsü Başpınar İndirimli Gaziantep Kart,gaziantepkart,23.40,TRY
gk_oho_baspinar_o,Özel Halk Otobüsü Başpınar Öğrenci Gaziantep Kart,gaziantepkart,10.00,TRY
gk_bo_kirsal_t,Kırsal Otobüs Tam Gaziantep Kart,gaziantepkart,44.50,TRY
gk_bo_kirsal_i,Kırsal Otobüs İndirimli Gaziantep Kart,gaziantepkart,31.00,TRY
gk_bo_kirsal_o,Kırsal Otobüs Öğrenci Gaziantep Kart,gaziantepkart,13.10,TRY
gk_nizip_shrici_t,Nizip Tam Gaziantep Kart,gaziantepkart,18.00,TRY
gk_nizip_shrici_i,Nizip İndirimli Gaziantep Kart,gaziantepkart,14.00,TRY
gk_nizip_shrici_o,Nizip Öğrenci Gaziantep Kart,gaziantepkart,10.00,TRY
gk_nizip_konteyner_t,Nizip Konteyner Tam Kent Gaziantep Kart,gaziantepkart,20.50,TRY
gk_nizip_konteyner_i,Nizip Konteyner İndirimli Kent Gaziantep Kart,gaziantepkart,16.50,TRY
gk_nizip_konteyner_o,Nizip Konteyner Öğrenci Kent Gaziantep Kart,gaziantepkart,10.00,TRY
gk_islahiye_oho_t,İslahiye Şehiriçi Tam Gaziantep Kart,gaziantepkart,18.00,TRY
gk_islahiye_oho_i,İslahiye Şehiriçi İndirimli Gaziantep Kart,gaziantepkart,14.00,TRY
gk_islahiye_oho_o,İslahiye Şehiriçi Öğrenci Gaziantep Kart,gaziantepkart,10.00,TRY
gk_bld_ring_t,Belediye Ring Tam Gaziantep Kart,gaziantepkart,11.00,TRY
gk_bld_ring_o,Belediye Ring Öğrenci Gaziantep Kart,gaziantepkart,4.50,TRY
mfnc_bo_shrici_t,Otobüs Tam Mobil Uygulama NFC,mobilnfc,21.00,TRY
mfnc_bo_shrici_i,Otobüs İndirimli Mobil Uygulama NFC,mobilnfc,18.00,TRY
mfnc_bo_shrici_o,Otobüs Öğrenci Mobil Uygulama NFC,mobilnfc,10.00,TRY
mfnc_trm_t,Tramvay Tam Mobil Uygulama NFC,mobilnfc,21.00,TRY
mfnc_trm_i,Tramvay İndirimli Mobil Uygulama NFC,mobilnfc,18.00,TRY
mfnc_trm_o,Tramvay Öğrenci Mobil Uygulama NFC,mobilnfc,10.00,TRY
mfnc_gzry_t,Gaziray Tam Mobil Uygulama NFC,mobilnfc,14.00,TRY
mfnc_gzry_i,Gaziray İndirimli Mobil Uygulama NFC,mobilnfc,11.70,TRY
mfnc_gzry_o,Gaziray Öğrenci Mobil Uygulama NFC,mobilnfc,6.30,TRY
mfnc_oho_shrici_t,Özel Halk Otobüsü Tam Mobil Uygulama NFC,mobilnfc,21.00,TRY
mfnc_oho_shrici_i,Özel Halk Otobüsü İndirimli Mobil Uygulama NFC,mobilnfc,18.00,TRY
mfnc_oho_shrici_o,Özel Halk Otobüsü Öğrenci Mobil Uygulama NFC,mobilnfc,10.00,TRY
mfnc_oho_baspinar_t,Özel Halk Otobüsü Başpınar Tam Mobil Uygulama NFC,mobilnfc,27.25,TRY
mfnc_oho_baspinar_i,Özel Halk Otobüsü Başpınar İndirimli Mobil Uygulama NFC,mobilnfc,23.40,TRY
