route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color,route_url
20170,3,M15,Narlıtepe-Otogar,3,,0000FF,FFFFFF,
20160,3,M14,Vatan Mahallesi-Ensar Sit.,3,,0000FF,FFFFFF,
00630,1,B63,Osmanlı Mah.-İstasyon,3,,FF6600,FFFFFF,
00880,1,B88,Seyrantepe-Beşkuyu,3,,FF6600,FFFFFF,
00921,6,B92-1,Kuzeyşehir 6.Etap-İstasyon,3,,FF6600,FFFFFF,
20220,3,M18,Yeni Çocuk Hastanesi-Ayakkabıcılar Sitesi,3,,0000FF,FFFFFF,
20230,3,M19,Girne-Balıklı-Balıklı-Girne,3,,0000FF,FFFFFF,
00910,1,B91,Çakmak Mah.-Dımışkılı,3,,FF6600,FFFFFF,
00900,1,B90,Hoşgör-Zeytinli,3,,FF6600,FFFFFF,
00400,1,B40,Ensar Sit.-Balıklı,3,,FF6600,FFFFFF,
30121,2,S12-1,Tuğay-Vatan,3,,D9D900,000000,
30050,2,S05,İbni Sina-Sümerbank-Gatem,3,,D9D900,000000,
30080,2,S08,Binevler-Gazikent,3,,D9D900,000000,
30010,2,S01,Karataş-Gatem,3,,D9D900,000000,
50030,11,T3,Adliye-Burç,0,,0D0DFF,FFFFFF,
20200,3,M17,Beykent-Mavikent,3,,0000FF,FFFFFF,
20030,3,M03,Gazikent-Mavikent,3,,0000FF,FFFFFF,
00570,1,B57,Gazikent-Balıklı,3,,FF6600,FFFFFF,
00780,1,B78,Çocuk Hastanesi-Beykent,3,,FF6600,FFFFFF,
00030,1,B03,İncilikaya-Çocuk Hast.,3,,FF6600,FFFFFF,
00490,1,B49,Önderbirlik-İpekevler,3,,FF6600,FFFFFF,
00240,1,K24,İstasyon-Kersentaş,3,,9E3F00,FFFFFF,
00220,1,K22,İstasyon-Battal,3,,9E3F00,FFFFFF,
30040,2,S04,Karataş-60.Yıl-Gatem,3,,D9D900,000000,
30100,2,S10,Beylerbeyi-Saçaklı,3,,D9D900,000000,
30030,2,S03,Mavikent-Cumhuriyet-Gatem,3,,D9D900,000000,
